total_location,unique_location,total_calls,total_conversations,mean_call_duration,std_call_duration,mean_duration_dark,std_dark,mean_lock_duration,std_lock,most_freq_activity,proportion_running_walking,mean_deadline,std_deadline,mean_sleep,std_sleep,mean_stress,std_stress,labels
44271,1029,1613,1396,626.04226361,946.674763481,12080.7099567,8473.98189713,13126.231441,8964.9286494,0.0,0.0320704306715,0.169014084507,0.443606077409,4.26086956522,2.59124598709,2.55319148936,0.963338844483,1.0
25277,758,1336,1051,739.227402474,1033.62459559,11817.92,9467.32143458,12377.0,9067.48979839,0.0,0.0294202480531,0.338028169014,0.626720998909,5.0,3.0884399846,1.5,1.28452325787,1.0
52553,874,1624,1686,620.862989324,1074.66618872,13752.3296089,10736.9003167,11370.4724409,9074.65981777,0.0,0.0361840040029,0.380281690141,0.699420226363,7.06557377049,3.20792488189,1.875,1.1016086722,1.0
21153,535,1107,1052,451.978136882,766.423108146,12465.3736264,8765.1981211,12518.5363636,8984.28528617,0.0,0.0245794724984,0.211267605634,0.472198721528,4.52941176471,3.08921553071,1.13333333333,1.25786415094,0.0
59471,906,1390,1109,585.124436429,910.568687844,11872.2268041,8846.11681713,11841.6132075,9243.27165806,0.0,0.0457203445749,0.197183098592,0.463292512772,6.64,3.69735040265,2.24590163934,1.64621510959,1.0
13624,468,1408,1315,472.834980989,696.751905369,13616.7853403,10111.4056076,10393.1635514,7408.94254921,0.0,0.0205581534388,0.154929577465,0.398867669254,6.13793103448,3.25601976113,1.30612244898,1.07293383086,1.0
13710,524,880,1048,734.900763359,1047.6763892,9906.14285714,8364.6191402,11099.8492063,8491.40359148,0.0,0.0533299178277,0.267605633803,0.627037444776,5.05714285714,3.86887105824,1.58333333333,1.20473602457,1.0
11195,764,781,1121,865.82426405,1417.57328809,9456.25773196,6533.48817379,12007.9807692,8536.94475273,0.0,0.068695900874,0.154929577465,0.361837537427,5.55,3.35372926755,2.12,1.60798009938,1.0
23377,742,1610,2212,459.150994575,734.03605633,9446.00961538,7712.00249174,11037.6122449,8271.29562147,0.0,0.0284733258775,0.281690140845,0.561263629441,4.1,3.20780298647,1.53333333333,1.14697670227,1.0
66920,1301,1531,2107,917.590887518,1298.61402723,12392.3298429,9864.99282067,13422.5720339,9639.34126067,0.0,0.0636704422597,0.366197183099,0.537061294787,6.05,2.82798514848,2.51428571429,1.72992862894,1.0
15807,844,1612,2555,463.342074364,661.57313705,9958.11,7307.18560514,7803.51442308,4725.92421565,0.0,0.0439000034226,0.169014084507,0.41063041513,3.75,2.98956518578,1.76470588235,1.73304939561,1.0
84148,1378,1241,1955,836.494629156,1244.78414787,12715.1206897,9770.40501945,12776.622807,9542.96645178,0.0,0.0710650453433,0.352112676056,0.477628872051,7.36538461538,3.29935218673,2.23287671233,1.61771484309,1.0
27465,997,1310,902,1051.05654102,1509.35376919,12645.3555556,9440.78211604,10328.3064516,8129.56222139,0.0,0.047575270596,0.394366197183,0.592889159996,6.10869565217,3.81204190901,2.66666666667,1.30930734142,1.0
7843,697,828,1139,612.045654083,813.039819796,11209.5294118,7254.94722445,13038.45,8168.25294953,0.0,0.0402254944412,0.154929577465,0.398867669254,4.0,3.43996124009,1.09090909091,1.44313707876,0.0
13314,667,1612,1427,537.219341275,764.090621699,12580.6170213,7905.97934653,12577.9711538,8391.05194132,0.0,0.0316353807382,0.154929577465,0.398867669254,5.8,2.82134719593,2.13636363636,1.67319657448,1.0
46055,906,1827,1914,418.650992685,661.535554522,10981.0286885,9449.42472071,9684.88288288,8169.2688464,0.0,0.057159468566,0.0,0.0,6.54054054054,2.85311204765,1.27419354839,0.826366997255,0.0
3496,133,534,435,255.691954023,278.991882722,17440.75,11468.5669413,10640.6923077,8603.62458846,0.0,0.00335093234046,0.0,0.0,5.57142857143,3.53986048382,0.666666666667,0.471404520791,0.0
45302,797,1100,1213,664.974443528,922.142120747,11516.9315068,9073.13503737,14247.6617647,9832.731877,0.0,0.0300885919582,0.197183098592,0.463292512772,5.88888888889,3.33148096679,1.46666666667,1.08730042869,1.0
14813,712,1084,1147,601.419354839,804.175534679,14530.7708333,9371.173075,12092.7653061,8391.96310959,0.0,0.0252301501538,0.154929577465,0.398867669254,3.76,4.06231461115,2.47368421053,1.9020327368,1.0
11643,957,1246,1731,602.821490468,1095.44057592,12297.057554,9913.191594,12356.6790123,9520.45069782,0.0,0.058186650945,0.0,0.0,6.23333333333,2.87150754057,1.76829268293,1.16135728508,1.0
10440,445,1470,1401,456.995717345,640.840159403,12096.1904762,9487.70370065,11237.7955556,8978.85289248,0.0,0.0173482189783,0.211267605634,0.528497550403,8.34920634921,3.25702527713,1.92391304348,1.40831147472,1.0
19761,992,945,1259,632.503574265,916.648746863,14543.4782609,10120.0965176,10126.0706522,6210.7079902,0.0,0.023501017509,0.154929577465,0.398867669254,5.3125,3.65237508342,2.69696969697,1.97690987034,1.0
43946,1489,1512,1907,754.106974305,1219.42711501,10053.7682927,7160.3576544,9354.07317073,7358.51008461,0.0,0.114887208274,0.239436619718,0.488308051362,4.96551724138,2.84644677014,2.34210526316,1.43776719786,1.0
7110,831,1394,902,400.430155211,613.626186341,13019.7391304,925.0,,,,,,,,,,,
